Date	demanda_diaria
2022-11-13	730254832.88
2022-11-14	756829200.88
2022-11-15	858824140.88
2022-11-16	874856954.2
2022-11-17	875711862.2800001
2022-11-18	863483784.6
2022-11-19	840196106.52
2022-11-20	773825918.12
2022-11-21	869292663.04
2022-11-22	883720166.56
2022-11-23	878418303.92
2022-11-24	876915693.48
2022-11-25	880156451.92
2022-11-26	844991034.16
2022-11-27	750860359.6800001
2022-11-28	850376485.44
2022-11-29	851751551.36
2022-11-30	854520276.24
2022-12-01	847949055.08
2022-12-02	853897848.64
2022-12-03	822486735.32
2022-12-04	753827895.72
2022-12-05	847772923.16
2022-12-06	857650655.44
2022-12-07	844149028.5600001
2022-12-08	767441433.36
2022-12-09	854263087.12
2022-12-10	829408371.52
2022-12-11	755460924.08
2022-12-12	851161611.28
2022-12-13	868468896.08
2022-12-14	873680174.8
2022-12-15	874882869.92
2022-12-16	880835710.7199999
2022-12-17	833717231.12
2022-12-18	767001513.48
2022-12-19	850951299.28
2022-12-20	860962051.6
2022-12-21	872166203.8
2022-12-22	876298813.76
2022-12-23	860908152.04
2022-12-24	771804046.28
2022-12-25	690005645.68
2022-12-26	808936753.08
2022-12-27	839805467.48
2022-12-28	843733612.0
2022-12-29	835041995.9200001
2022-12-30	812651363.4
2022-12-31	747988789.68
2023-01-01	666035824.56
2023-01-02	763044947.12
2023-01-03	801247652.8000001
2023-01-04	818081485.16
2023-01-05	823297703.48
2023-01-06	833215442.04
2023-01-07	799368732.7199999
2023-01-08	725228730.96
2023-01-09	743215462.36
2023-01-10	817694654.24
2023-01-11	838894017.08
2023-01-12	840693300.08
2023-01-13	860013092.0
2023-01-14	823892722.8
2023-01-15	747940592.44
2023-01-16	840785258.76
2023-01-17	856602860.1999999
2023-01-18	854887084.88
2023-01-19	860375521.88
2023-01-20	860030198.4
2023-01-21	822005482.5200001
2023-01-22	751862040.96
2023-01-23	855464553.36
2023-01-24	872865846.96
2023-01-25	880216448.72
2023-01-26	879636484.4
2023-01-27	873668853.52
2023-01-28	831258189.52
2023-01-29	750450464.9599999
2023-01-30	853693990.16
2023-01-31	863807215.04
2023-02-01	861266766.28
2023-02-02	858607134.5999999
2023-02-03	868762432.92
2023-02-04	831468862.24
2023-02-05	751055621.36
2023-02-06	865833646.0
2023-02-07	873686962.4
2023-02-08	878638098.28
2023-02-09	887061633.76
2023-02-10	887074477.76
2023-02-11	855588673.92
2023-02-12	780968530.32
2023-02-13	870633505.72
2023-02-14	883795905.44
2023-02-15	888032623.48
2023-02-16	882617229.68
2023-02-17	879237260.08
2023-02-18	833729300.64
2023-02-19	747065006.36
2023-02-20	847909723.6800001
2023-02-21	856563139.88
2023-02-22	859890892.88
2023-02-23	869240021.0799999
2023-02-24	876038115.48
2023-02-25	840267375.88
2023-02-26	764131123.88
2023-02-27	871666600.48
2023-02-28	888035001.3199999
2023-03-01	885491074.52
2023-03-02	893745449.1999999
2023-03-03	899637138.68
2023-03-04	861044487.8000001
